nephilim heritage	"heritage:nephilim"	Nephilim
demolish defenses	"feat:demolish-defenses"	Demolish Defenses
deflecting pulse	"feat:deflecting-pulse"	Deflecting Pulse
cascading ray	"feat:cascading-ray"	Cascading Ray
natural performer	"feat:natural-performer"	Natural Performer
emotional partitions	"feat:emotional-partitions"	Emotional Partitions
malleable form	"feat:malleable-form"	Malleable Form
major deific power	"feat:major-deific-power"	Major Deific Power
battle-hardened companion	"feat:battle-hardened-companion"	Battle-Hardened Companion
blazing streak	"feat:blazing-streak"	Blazing Streak
leaping hedgehog strike	"feat:leaping-hedgehog-strike"	Leaping Hedgehog Strike
double slice	"feat:double-slice"	Double Slice
dragon disciple dedication	"feat:dragon-disciple-dedication"	Dragon Disciple Dedication
mature megafauna companion	"feat:mature-megafauna-companion"	Mature Megafauna Companion
avatar's audience	"feat:avatars-audience"	Avatar's Audience
arcane dragonblood	"feat:arcane-dragonblood"	Arcane Dragonblood
lightless litheness	"feat:lightless-litheness"	Lightless Litheness
fading	"feat:fading"	Fading
verdant metamorphosis	"feat:verdant-metamorphosis"	Verdant Metamorphosis
rune ward	"feat:rune-ward"	Rune Ward
swap reflections	"feat:swap-reflections"	Swap Reflections
directed audience	"feat:directed-audience"	Directed Audience
penetrating shot	"feat:penetrating-shot"	Penetrating Shot
one among the masses	"feature:one-among-the-masses"	One Among the Masses
quick juggler	"feat:quick-juggler"	Quick Juggler
cunning hair	"feat:cunning-hair"	Cunning Hair
flexible nexus	"feat:flexible-nexus"	Flexible Nexus
divine countermeasures	"feat:divine-countermeasures"	Divine Countermeasures
simple mastery	"feat:simple-mastery"	Simple Mastery
intercepting hand	"feat:intercepting-hand"	Intercepting Hand
return to the pit!	"feat:return-to-the-pit"	Return to the Pit!
eldritch archer dedication	"feat:eldritch-archer-dedication"	Eldritch Archer Dedication
world rouser dedication	"feat:world-rouser-dedication"	World Rouser Dedication
directional bombs	"feat:directional-bombs"	Directional Bombs
nature prowler	"feat:nature-prowler"	Nature Prowler
dragon shape	"feat:dragon-shape"	Dragon Shape
engine bay	"feat:engine-bay"	Engine Bay
spell swallow	"feat:spell-swallow"	Spell Swallow
furious sprint	"feat:furious-sprint"	Furious Sprint
fabricate truth	"feat:fabricate-truth"	Fabricate Truth
hex focus	"feat:hex-focus"	Hex Focus
apex companion	"feat:apex-companion"	Apex Companion
growing eel friend	"feat:growing-eel-friend"	Growing Eel Friend
semblance of life	"feat:semblance-of-life"	Semblance of Life
read psychometric resonance	"feat:read-psychometric-resonance"	Read Psychometric Resonance
shackleborn	"feat:shackleborn"	Shackleborn
holy bloom	"feat:holy-bloom"	Holy Bloom
snow step	"feat:snow-step"	Snow Step
primadonna	"feat:primadonna"	Primadonna
cannonball fall	"feat:cannonball-fall"	Cannonball Fall
incriminating spell	"feat:incriminating-spell"	Incriminating Spell
crown of bone	"feat:crown-of-bone"	Crown of Bone
elaborate flourish	"feat:elaborate-flourish"	Elaborate Flourish
veil may	"feat:veil-may"	Veil May
spectral advance	"feat:spectral-advance"	Spectral Advance
vindictive thoughts	"feat:vindictive-thoughts"	Vindictive Thoughts
mental balm	"feat:mental-balm"	Mental Balm
strafing breath	"feat:strafing-breath"	Strafing Breath
purge sins	"feat:purge-sins"	Purge Sins
a hush falls over the world	"feat:a-hush-falls-over-the-world"	A Hush Falls Over the World
gird champion	"feat:gird-champion"	Gird Champion
defensive growth	"feat:defensive-growth"	Defensive Growth
sanguivolent roots	"feat:sanguivolent-roots"	Sanguivolent Roots
one with the wild	"feat:one-with-the-wild"	One with the Wild
goblin jubilee display	"feat:goblin-jubilee-display"	Goblin Jubilee Display
aldori duelist dedication	"feat:aldori-duelist-dedication"	Aldori Duelist Dedication
advanced witchcraft	"feat:advanced-witchcraft"	Advanced Witchcraft
air cushion	"feat:air-cushion"	Air Cushion
that's odd	"feat:thats-odd"	That's Odd
twin stars	"feat:twin-stars"	Twin Stars
for the fallen!	"feat:for-the-fallen"	For the Fallen!
haft striker stance	"feat:haft-striker-stance"	Haft Striker Stance
aerobatics mastery	"feat:aerobatics-mastery"	Aerobatics Mastery
poisoner's twist	"feat:poisoners-twist"	Poisoner's Twist
expert combat eidolon	"feat:expert-combat-eidolon"	Expert Combat Eidolon
bonded animal	"feat:bonded-animal"	Bonded Animal
ghost strike	"feat:ghost-strike"	Ghost Strike
obscured emergence	"feat:obscured-emergence"	Obscured Emergence
snow may	"feat:snow-may"	Snow May
runic reprisal	"feat:runic-reprisal"	Runic Reprisal
undead slayer dedication	"feat:undead-slayer-dedication"	Undead Slayer Dedication
keep up appearances	"feat:keep-up-appearances"	Keep up Appearances
rushing boar	"feat:rushing-boar"	Rushing Boar
quick shield block	"feat:quick-shield-block"	Quick Shield Block
animal actor	"feat:animal-actor"	Animal Actor
tag team	"feat:tag-team"	Tag Team
runic correspondence	"feat:runic-correspondence"	Runic Correspondence
foresee danger	"feat:foresee-danger"	Foresee Danger
knockback	"feat:knockback"	Knockback
black powder embodiment	"feat:black-powder-embodiment"	Black Powder Embodiment
aura shaping	"feat:aura-shaping"	Aura Shaping
nourishing symbiosis	"feat:nourishing-symbiosis"	Nourishing Symbiosis
kobold momentum	"feat:kobold-momentum"	Kobold Momentum
home in the deep	"feat:home-in-the-deep"	Home in the Deep
basic field training	"feat:basic-field-training"	Basic Field Training
edict of mortality	"feat:edict-of-mortality"	Edict of Mortality
horizon walker dedication	"feat:horizon-walker-dedication"	Horizon Walker Dedication
festering wounds	"feat:festering-wounds"	Festering Wounds
double prey	"feat:double-prey"	Double Prey
juvenile flight	"feat:juvenile-flight"	Juvenile Flight
cutting heaven, crushing earth	"feat:cutting-heaven-crushing-earth"	Cutting Heaven, Crushing Earth
lich dedication	"feat:lich-dedication"	Lich Dedication
spell devourer	"feat:spell-devourer"	Spell Devourer
quiet allies	"feat:quiet-allies"	Quiet Allies
axe thrower	"feat:axe-thrower"	Axe Thrower
spiritual explorer	"feat:spiritual-explorer"	Spiritual Explorer
shared attunement	"feat:shared-attunement"	Shared Attunement
stunt performer stance	"feat:stunt-performer-stance"	Stunt Performer Stance
magical onslaught	"feat:magical-onslaught"	Magical Onslaught
underworld investigator	"feat:underworld-investigator"	Underworld Investigator
vishkanya lore	"feat:vishkanya-lore"	Vishkanya Lore
master sorcerer spellcasting	"feat:master-sorcerer-spellcasting"	Master Sorcerer Spellcasting
terrain form	"feat:terrain-form"	Terrain Form
iruxi spirit strike	"feat:iruxi-spirit-strike"	Iruxi Spirit Strike
westyr's wayfinder repository	"feat:westyrs-wayfinder-repository"	Westyr's Wayfinder Repository
mystical flare	"feat:mystical-flare"	Mystical Flare
armor in earth	"feat:armor-in-earth"	Armor in Earth
shory aerialist	"feat:shory-aerialist"	Shory Aerialist
reason rapidly	"feat:reason-rapidly"	Reason Rapidly
overwhelming spellstrike	"feat:overwhelming-spellstrike"	Overwhelming Spellstrike
unbalancing sweep	"feat:unbalancing-sweep"	Unbalancing Sweep
eerie environs	"feat:eerie-environs"	Eerie Environs
you don't smell right	"feat:you-dont-smell-right"	You Don't Smell Right
personalized poisoning	"feat:personalized-poisoning"	Personalized Poisoning
cannon corner shot	"feat:cannon-corner-shot"	Cannon Corner Shot
thoughtform summoning	"feat:thoughtform-summoning"	Thoughtform Summoning
inspire imitation	"feat:inspire-imitation"	Inspire Imitation
coating of slime	"feat:coating-of-slime"	Coating of Slime
speak with flowers	"feat:speak-with-flowers"	Speak with Flowers
sacral monarch	"feat:sacral-monarch"	Sacral Monarch
catrina's presence	"feat:catrinas-presence"	Catrina's Presence
ancient memories	"feat:ancient-memories"	Ancient Memories
diverse weapon expert	"feat:diverse-weapon-expert"	Diverse Weapon Expert
duo's aim	"feat:duos-aim"	Duo's Aim
echo of the fallen	"feat:echo-of-the-fallen"	Echo of the Fallen
ghostly resistance	"feat:ghostly-resistance"	Ghostly Resistance
wylderheart dedication	"feat:wylderheart-dedication"	Wylderheart Dedication
molten wire	"feat:molten-wire"	Molten Wire
eternal bane	"feat:eternal-bane"	Eternal Bane
unending emptiness	"feat:unending-emptiness"	Unending Emptiness
shame the sin	"feat:shame-the-sin"	Shame the Sin
martial performance	"feat:martial-performance"	Martial Performance
clawdancer dedication	"feat:clawdancer-dedication"	Clawdancer Dedication
conductor's redirection	"feat:conductors-redirection"	Conductor's Redirection
shift spell	"feat:shift-spell"	Shift Spell
moray ambush	"feat:moray-ambush"	Moray Ambush
transfusion	"feat:transfusion"	Transfusion
barricade snare	"feat:barricade-snare"	Barricade Snare
runesmith dedication	"feat:runesmith-dedication"	Runesmith Dedication
propulsive leap	"feat:propulsive-leap"	Propulsive Leap
twilight talon dedication	"feat:twilight-talon-dedication"	Twilight Talon Dedication
defy chains	"feat:defy-chains"	Defy Chains
coughing dragon display	"feat:coughing-dragon-display"	Coughing Dragon Display
ceremony of aeon's shield	"feat:ceremony-of-aeons-shield"	Ceremony of Aeon's Shield
steel falcon dedication	"feat:steel-falcon-dedication"	Steel Falcon Dedication
foxfire	"feat:foxfire"	Foxfire
shielding taunt	"feat:shielding-taunt"	Shielding Taunt
greater lesson	"feat:greater-lesson"	Greater Lesson
chemical purification	"feat:chemical-purification"	Chemical Purification
quick draw	"feat:quick-draw"	Quick Draw
nodal regeneration	"feat:nodal-regeneration"	Nodal Regeneration
redirect spell	"feat:redirect-spell"	Redirect Spell
fantastic leap	"feat:fantastic-leap"	Fantastic Leap
verbose distraction	"feat:verbose-distraction"	Verbose Distraction
hidden intentions	"feat:hidden-intentions"	Hidden Intentions
heaven's thunder	"feat:heavens-thunder"	Heaven's Thunder
underbrush trailblazer	"feat:underbrush-trailblazer"	Underbrush Trailblazer
inured to the heat	"feat:inured-to-the-heat"	Inured to the Heat
scout dedication	"feat:scout-dedication"	Scout Dedication
intensified element stance	"feat:intensified-element-stance"	Intensified Element Stance
verdant weapon	"feat:verdant-weapon"	Verdant Weapon
pale horse	"feat:pale-horse"	Pale Horse
careful explorer	"feat:careful-explorer"	Careful Explorer
sudden charge	"feat:sudden-charge"	Sudden Charge
tree climber	"feat:tree-climber-elf"	Tree Climber (Elf)
sudden mindfulness	"feat:sudden-mindfulness"	Sudden Mindfulness
stand for the fallen	"feat:stand-for-the-fallen"	Stand for the Fallen
glyph expert	"feat:glyph-expert"	Glyph Expert
helpful tinkering	"feat:helpful-tinkering"	Helpful Tinkering
runtsage	"feat:runtsage"	Runtsage
garland spell	"feat:garland-spell"	Garland Spell
consolidated overlay panopticon	"feat:consolidated-overlay-panopticon"	Consolidated Overlay Panopticon
sanctified soul	"feat:sanctified-soul"	Sanctified Soul
into the storm	"feat:into-the-storm"	Into The Storm
deep vision	"feat:deep-vision"	Deep Vision
wood ward	"feat:wood-ward"	Wood Ward
champion resiliency	"feat:champion-resiliency"	Champion Resiliency
master of many styles	"feat:master-of-many-styles"	Master of Many Styles
urban jungle	"feat:urban-jungle"	Urban Jungle
vantage shot	"feat:vantage-shot"	Vantage Shot
martial experience	"feat:martial-experience"	Martial Experience
whispers in the night	"feat:whispers-in-the-night"	Whispers in the Night
vanara lore	"feat:vanara-lore"	Vanara Lore
shifting faces	"feat:shifting-faces"	Shifting Faces
psi catastrophe	"feat:psi-catastrophe"	Psi Catastrophe
controlled bullet	"feat:controlled-bullet"	Controlled Bullet
energy fortification	"feat:energy-fortification"	Energy Fortification
disrupt prey	"feat:disrupt-prey"	Disrupt Prey
flash your badge	"feat:flash-your-badge"	Flash Your Badge
fire resistance	"feat:fire-resistance"	Fire Resistance
scattering in spring	"feat:scattering-in-spring"	Scattering in Spring
grasping spirits spell	"feat:grasping-spirits-spell"	Grasping Spirits Spell
aquatic pirouette	"feat:aquatic-pirouette"	Aquatic Pirouette
precise finisher	"feat:precise-finisher"	Precise Finisher
call the worm	"feat:call-the-worm"	Call the Worm
treehealer	"feat:treehealer"	Treehealer
startling appearance	"feat:startling-appearance-vigilante"	Startling Appearance (Vigilante)
flying blade	"feat:flying-blade"	Flying Blade
incredible companion	"feat:incredible-companion-druid"	Incredible Companion (Druid)
pact of the final breath	"feat:pact-of-the-final-breath"	Pact of the Final Breath
avenger dedication	"feat:avenger-dedication"	Avenger Dedication
hellknight dedication	"feat:hellknight-dedication"	Hellknight Dedication
doublespeak	"feat:doublespeak"	Doublespeak
ricochet master	"feat:ricochet-master"	Ricochet Master
friendform	"feat:friendform"	Friendform
stormsoul	"feat:stormsoul"	Stormsoul
domain acumen	"feat:domain-acumen"	Domain Acumen
reclaimant plea	"feat:reclaimant-plea"	Reclaimant Plea
tandem movement	"feat:tandem-movement"	Tandem Movement
the harder they fall	"feat:the-harder-they-fall-kingmaker"	The Harder They Fall (Kingmaker)
slayer's presence	"feat:slayers-presence"	Slayer's Presence
kodama call	"feat:kodama-call"	Kodama Call
uncanny agility	"feat:uncanny-agility"	Uncanny Agility
ravenous charge	"feat:ravenous-charge"	Ravenous Charge
tragic lament	"feat:tragic-lament"	Tragic Lament
camouflage	"feat:camouflage"	Camouflage
fade away	"feat:fade-away"	Fade Away
through the needle's eye	"feat:through-the-needles-eye"	Through the Needle's Eye
warped by rage	"feat:warped-by-rage"	Warped by Rage
no!!!	"feat:no"	No!!!
eternity-incinerating blaze	"feat:eternity-incinerating-blaze"	Eternity-Incinerating Blaze
battle planner	"feat:battle-planner"	Battle Planner
exemplar dedication	"feat:exemplar-dedication"	Exemplar Dedication
dongun education	"feat:dongun-education"	Dongun Education
fatal bullet	"feat:fatal-bullet"	Fatal Bullet
unrivaled analysis	"feat:unrivaled-analysis"	Unrivaled Analysis
shrouded mien	"feat:shrouded-mien"	Shrouded Mien
arcane evolution	"feat:arcane-evolution"	Arcane Evolution
swamp stealth	"feat:swamp-stealth"	Swamp Stealth
sure-footed	"feat:sure-footed"	Sure-Footed
lightning tongue	"feat:lightning-tongue"	Lightning Tongue
cut the bonds	"feat:cut-the-bonds"	Cut the Bonds
ghost eater dedication	"feat:ghost-eater-dedication"	Ghost Eater Dedication
runic tattoo	"feat:runic-tattoo"	Runic Tattoo
blast tackle	"feat:blast-tackle"	Blast Tackle
tremor	"feat:tremor"	Tremor
far shot	"feat:far-shot"	Far Shot
duelist dedication	"feat:duelist-dedication"	Duelist Dedication
cloud step	"feat:cloud-step"	Cloud Step
deceptive worship	"feat:deceptive-worship"	Deceptive Worship
countercharm	"feat:countercharm"	Countercharm
terrifying transformation	"feat:terrifying-transformation"	Terrifying Transformation
minion guise	"feat:minion-guise"	Minion Guise
sea witch	"feat:sea-witch"	Sea Witch
mobile shot stance	"feat:mobile-shot-stance"	Mobile Shot Stance
slip sideways	"feat:slip-sideways"	Slip Sideways
awesome blow	"feat:awesome-blow"	Awesome Blow
dizzying spin dance	"feat:dizzying-spin-dance"	Dizzying Spin Dance
tear tendons	"feat:tear-tendons"	Tear Tendons
graceful poise	"feat:graceful-poise"	Graceful Poise
scholarly defense	"feat:scholarly-defense"	Scholarly Defense
eat fortune	"feat:eat-fortune"	Eat Fortune
weight of experience	"feat:weight-of-experience"	Weight of Experience
skeleton commander	"feat:skeleton-commander"	Skeleton Commander
cycle of souls	"feat:cycle-of-souls"	Cycle of Souls
thaumaturge's demesne	"feat:thaumaturges-demesne"	Thaumaturge's Demesne
bright lion dedication	"feat:bright-lion-dedication"	Bright Lion Dedication
emblazon energy	"feat:emblazon-energy"	Emblazon Energy
defy hell	"feat:defy-hell"	Defy Hell
glorious gamtu	"feat:glorious-gamtu"	Glorious Gamtu
unusual treatment	"feat:unusual-treatment"	Unusual Treatment
thrash	"feat:thrash"	Thrash
slinger's reflexes	"feat:slingers-reflexes"	Slinger's Reflexes
social purview	"feat:social-purview"	Social Purview
close formation	"feat:close-formation"	Close Formation
allegro	"feat:allegro"	Allegro
greenwatch initiate	"feat:greenwatch-initiate"	Greenwatch Initiate
expanded senses	"feat:expanded-senses"	Expanded Senses
bounce boost	"feat:bounce-boost"	Bounce Boost
combined form	"feat:combined-form"	Combined Form
portentous spell	"feat:portentous-spell"	Portentous Spell
marine ally	"feat:marine-ally"	Marine Ally
lunge	"feat:lunge"	Lunge
close quarters	"feat:close-quarters"	Close Quarters
hey! over here!	"feat:hey-over-here"	Hey! Over Here!
tidal hands	"feat:tidal-hands"	Tidal Hands
master spotter	"feat:master-spotter-ranger"	Master Spotter (Ranger)
kholo lore	"feat:kholo-lore"	Kholo Lore
advanced trickery	"feat:advanced-trickery"	Advanced Trickery
beast of burden	"feat:beast-of-burden"	Beast of Burden
howling aspect	"feat:howling-aspect"	Howling Aspect
rain of embers stance	"feat:rain-of-embers-stance"	Rain of Embers Stance
ferocious will	"feat:ferocious-will"	Ferocious Will
monk dedication	"feat:monk-dedication"	Monk Dedication
macabre virtuoso	"feat:macabre-virtuoso"	Macabre Virtuoso
treat condition	"feat:treat-condition"	Treat Condition
flower street infamy	"feat:flower-street-infamy"	Flower Street Infamy
effortless concentration	"feat:effortless-concentration"	Effortless Concentration
insistent command	"feat:insistent-command"	Insistent Command
gusting spell	"feat:gusting-spell"	Gusting Spell
wayang lore	"feat:wayang-lore"	Wayang Lore
thunderous landing	"feat:thunderous-landing"	Thunderous Landing
divert destiny	"feat:divert-destiny"	Divert Destiny
instigate psychic duel	"feat:instigate-psychic-duel"	Instigate Psychic Duel
stave off catastrophe	"feat:stave-off-catastrophe"	Stave off Catastrophe
apparition magic	"feat:apparition-magic"	Apparition Magic
tail spin	"feat:tail-spin"	Tail Spin
serpent's tongue	"feat:serpents-tongue"	Serpent's Tongue
homing shot	"feat:homing-shot"	Homing Shot
a thousand cries for help	"feat:a-thousand-cries-for-help"	A Thousand Cries for Help
inoculation subroutine	"feat:inoculation-subroutine"	Inoculation Subroutine
crawling fire	"feat:crawling-fire"	Crawling Fire
breath of calamity	"feat:breath-of-calamity"	Breath of Calamity
shooter's camouflage	"feat:shooters-camouflage"	Shooter's Camouflage
rimesoul	"feat:rimesoul"	Rimesoul
river adaptation	"feat:river-adaptation"	River Adaptation
impossible snares	"feat:impossible-snares"	Impossible Snares
psi burst	"feat:psi-burst"	Psi Burst
evanescent wings	"feat:evanescent-wings"	Evanescent Wings
childlike plant	"feat:childlike-plant"	Childlike Plant
ceremony of fortification	"feat:ceremony-of-fortification"	Ceremony of Fortification
tactical reflexes	"feat:tactical-reflexes"	Tactical Reflexes
steadfast ally	"feat:steadfast-ally"	Steadfast Ally
toppling tentacles	"feat:toppling-tentacles"	Toppling Tentacles
sense unholiness	"feat:sense-unholiness"	Sense Unholiness
exemplar resiliency	"feat:exemplar-resiliency"	Exemplar Resiliency
awakened yaoguai heritage	"feat:awakened-yaoguai-heritage"	Awakened Yaoguai Heritage
add element	"feat:add-element"	Add Element
guided by the stars	"feat:guided-by-the-stars"	Guided by the Stars
hamstringing strike	"feat:hamstringing-strike"	Hamstringing Strike
runesight	"feat:runesight"	Runesight
plane-stepping dash	"feat:plane-stepping-dash"	Plane-Stepping Dash
crossbow crack shot	"feat:crossbow-crack-shot"	Crossbow Crack Shot
bastion dedication	"feat:bastion-dedication"	Bastion Dedication
expert summoner spellcasting	"feat:expert-summoner-spellcasting"	Expert Summoner Spellcasting
meld into eidolon	"feat:meld-into-eidolon"	Meld into Eidolon
flesh tsunami	"feat:flesh-tsunami"	Flesh Tsunami
smoldering explosion	"feat:smoldering-explosion"	Smoldering Explosion
basic flair	"feat:basic-flair"	Basic Flair
raging athlete	"feat:raging-athlete"	Raging Athlete
sixth pillar mastery	"feat:sixth-pillar-mastery"	Sixth Pillar Mastery
folklorist dedication	"feat:folklorist-dedication"	Folklorist Dedication
sheltering slab	"feat:sheltering-slab"	Sheltering Slab
group aid	"feat:group-aid"	Group Aid
basic thoughtform	"feat:basic-thoughtform"	Basic Thoughtform
crosscurrent counter	"feat:crosscurrent-counter"	Crosscurrent Counter
spirit's anguish	"feat:spirits-anguish"	Spirit's Anguish
conceal spell	"feat:conceal-spell"	Conceal Spell
burn it!	"feat:burn-it"	Burn It!
exalted greatness	"feat:exalted-greatness"	Exalted Greatness
nephilim lore	"feat:nephilim-lore"	Nephilim Lore
nimble shield hand	"feat:nimble-shield-hand"	Nimble Shield Hand
gloomseer	"feat:gloomseer"	Gloomseer
sow rumor	"feat:sow-rumor"	Sow Rumor
astral tether	"feat:astral-tether"	Astral Tether
inoculation	"feat:inoculation"	Inoculation
covering stance	"feat:covering-stance"	Covering Stance
vishkanya weapon familiarity	"feat:vishkanya-weapon-familiarity"	Vishkanya Weapon Familiarity
experienced professional	"feat:experienced-professional"	Experienced Professional
ki cutting sight	"feat:ki-cutting-sight"	Ki Cutting Sight
purify element	"feat:purify-element"	Purify Element
tail snatch	"feat:tail-snatch"	Tail Snatch
light-bending jewel	"feat:light-bending-jewel"	Light-Bending Jewel
tempest-sun shielding	"feat:tempest-sun-shielding"	Tempest-Sun Shielding
protective sheath	"feat:protective-sheath"	Protective Sheath
absolve sins	"feat:absolve-sins"	Absolve Sins
modular dynamo	"feat:modular-dynamo"	Modular Dynamo
lingering composition	"feat:lingering-composition"	Lingering Composition
glitter crystals	"feat:glitter-crystals"	Glitter Crystals
expert druid spellcasting	"feat:expert-druid-spellcasting"	Expert Druid Spellcasting
advanced defender	"feat:advanced-defender"	Advanced Defender
rallying anthem	"feat:rallying-anthem"	Rallying Anthem
ultimate flexibility	"feat:ultimate-flexibility"	Ultimate Flexibility
mother's mindfulness	"feat:mothers-mindfulness"	Mother's Mindfulness
unlimited pluripotency	"feat:unlimited-pluripotency"	Unlimited Pluripotency
crude communication	"feat:crude-communication"	Crude Communication
ancestral suspicion	"feat:ancestral-suspicion"	Ancestral Suspicion
wild speech	"feat:wild-speech"	Wild Speech
armored regiment training	"feat:armored-regiment-training"	Armored Regiment Training
scroll thaumaturgy	"feat:scroll-thaumaturgy"	Scroll Thaumaturgy
defend mount	"feat:defend-mount"	Defend Mount
symphony of the muse	"feat:symphony-of-the-muse"	Symphony of the Muse
deflect projectile	"feat:deflect-projectile"	Deflect Projectile
favored terrain	"feat:favored-terrain"	Favored Terrain
grave's voice	"feat:graves-voice"	Grave's Voice
know oneself	"feat:know-oneself"	Know Oneself
constricting hold	"feat:constricting-hold"	Constricting Hold
no need to fear	"feat:no-need-to-fear"	No Need to Fear
denier of destruction	"feat:denier-of-destruction"	Denier of Destruction
primal proportions	"feat:primal-proportions"	Primal Proportions
dual-weapon reload	"feat:dual-weapon-reload"	Dual-Weapon Reload
stone brawler dedication	"feat:stone-brawler-dedication"	Stone Brawler Dedication
remote trigger	"feat:remote-trigger"	Remote Trigger
bleed out	"feat:bleed-out"	Bleed Out
seven changes performance	"feat:seven-changes-performance"	Seven Changes Performance
goblin lore	"feat:goblin-lore"	Goblin Lore
cleric dedication	"feat:cleric-dedication"	Cleric Dedication
eclipsed vitality	"feat:eclipsed-vitality"	Eclipsed Vitality
supernatural senses	"feat:supernatural-senses"	Supernatural Senses
voluminous vials	"feat:voluminous-vials"	Voluminous Vials
release me!	"feat:release-me"	Release Me!
tears of pearl	"feat:tears-of-pearl"	Tears of Pearl
impossible technique	"feat:impossible-technique"	Impossible Technique
nourishing gate	"feat:nourishing-gate"	Nourishing Gate
reach for the sky	"feat:reach-for-the-sky"	Reach for the Sky
kinetic dampening	"feat:kinetic-dampening"	Kinetic Dampening
meteoric spellstrike	"feat:meteoric-spellstrike"	Meteoric Spellstrike
courageous advance	"feat:courageous-advance"	Courageous Advance
debilitating bomb	"feat:debilitating-bomb"	Debilitating Bomb
blood calls blood	"feat:blood-calls-blood"	Blood Calls Blood
cunning climber	"feat:cunning-climber"	Cunning Climber
call the hunt	"feat:call-the-hunt"	Call the Hunt
master snowcasting	"feat:master-snowcasting"	Master Snowcasting
metallic skin	"feat:metallic-skin"	Metallic Skin
nalinivati's light	"feat:nalinivatis-light"	Nalinivati's Light
overwatch dedication	"feat:overwatch-dedication"	Overwatch Dedication
costume change	"feat:costume-change"	Costume Change
divine effusion	"feat:divine-effusion"	Divine Effusion
rain of rust	"feat:rain-of-rust"	Rain of Rust
towering presence	"feat:towering-presence"	Towering Presence
shed tail	"feat:shed-tail"	Shed Tail
experienced smuggler	"feat:experienced-smuggler"	Experienced Smuggler
swift banishment	"feat:swift-banishment"	Swift Banishment
focused fire	"feat:focused-fire"	Focused Fire
counter perform	"feat:counter-perform"	Counter Perform
hag magic	"feat:hag-magic"	Hag Magic
trampling charge	"feat:trampling-charge"	Trampling Charge
echolocation	"feat:echolocation"	Echolocation
master spotter	"feat:master-spotter-investigator"	Master Spotter (Investigator)
reactive tangle	"feat:reactive-tangle"	Reactive Tangle
shift horde	"feat:shift-horde"	Shift Horde
nanite shroud	"feat:nanite-shroud"	Nanite Shroud
penetrating projectile	"feat:penetrating-projectile"	Penetrating Projectile
read the roots	"feat:read-the-roots"	Read the Roots
scapegoat parallel self	"feat:scapegoat-parallel-self"	Scapegoat Parallel Self
blade of law	"feat:blade-of-law"	Blade of Law
smoke through bamboo	"feat:smoke-through-bamboo"	Smoke Through Bamboo
safeguard soul	"feat:safeguard-soul"	Safeguard Soul
pouncing transformation	"feat:pouncing-transformation"	Pouncing Transformation
living graveyard	"feat:living-graveyard"	Living Graveyard
resilient touch	"feat:resilient-touch"	Resilient Touch
knowledge is power	"feat:knowledge-is-power-wizard"	Knowledge is Power (Wizard)
buckler dance	"feat:buckler-dance"	Buckler Dance
slay	"feat:slay"	Slay
scaling poppet	"feat:scaling-poppet"	Scaling Poppet
stalking feline mask	"feat:stalking-feline-mask"	Stalking Feline Mask
illusion sense	"feat:illusion-sense"	Illusion Sense
face your fears	"feat:face-your-fears"	Face Your Fears
exploit blunder	"feat:exploit-blunder"	Exploit Blunder
survey wildlife	"feat:survey-wildlife"	Survey Wildlife
brutal finish	"feat:brutal-finish"	Brutal Finish
invoke the crimson oath	"feat:invoke-the-crimson-oath"	Invoke the Crimson Oath
shielded stride	"feat:shielded-stride"	Shielded Stride
oversized throw	"feat:oversized-throw"	Oversized Throw
distracting spellstrike	"feat:distracting-spellstrike"	Distracting Spellstrike
divine grace	"feat:divine-grace"	Divine Grace
shining glory	"feat:shining-glory"	Shining Glory
bounty hunter dedication	"feat:bounty-hunter-dedication"	Bounty Hunter Dedication
immobile form	"feat:immobile-form"	Immobile Form
drowning mist	"feat:drowning-mist"	Drowning Mist
accursed clay fist	"feat:accursed-clay-fist"	Accursed Clay Fist
swift guardian	"feat:swift-guardian"	Swift Guardian
archwizard's might	"feat:archwizards-might"	Archwizard's Might
willing death	"feat:willing-death"	Willing Death
vanish into the land	"feat:vanish-into-the-land"	Vanish Into the Land
silence heresy	"feat:silence-heresy"	Silence Heresy
wing buffet	"feat:wing-buffet"	Wing Buffet
storied companion	"feat:storied-companion"	Storied Companion
ricochet stance	"feat:ricochet-stance-fighter"	Ricochet Stance (Fighter)
castigating weapon	"feat:castigating-weapon"	Castigating Weapon
agent of all holds	"feat:agent-of-all-holds"	Agent of all Holds
axuma's vigor	"feat:axumas-vigor"	Axuma's Vigor
wings of the moon	"feat:wings-of-the-moon"	Wings of the Moon
bespell strikes	"feat:bespell-strikes"	Bespell Strikes
overwhelming energy	"feat:overwhelming-energy"	Overwhelming Energy
sudden terror	"feat:sudden-terror"	Sudden Terror
unstable concoction	"feat:unstable-concoction"	Unstable Concoction
environmental adaptability	"feat:environmental-adaptability"	Environmental Adaptability
gray corsair training	"feat:gray-corsair-training"	Gray Corsair Training
asp stance	"feat:asp-stance"	Asp Stance
interstitial escape	"feat:interstitial-escape"	Interstitial Escape
world-wise vigilance	"feat:world-wise-vigilance"	World-Wise Vigilance
shadow magic	"feat:shadow-magic"	Shadow Magic
desert wind	"feat:desert-wind"	Desert Wind
all shall end in flames	"feat:all-shall-end-in-flames"	All Shall End in Flames
ilverani purist	"feat:ilverani-purist"	Ilverani Purist
advanced dogma	"feat:advanced-dogma"	Advanced Dogma
