xenometric android heritage	"heritage:xenometric-android"	Xenometric Android
greater warp	"feat:greater-warp"	Greater Warp
feign death	"feat:feign-death"	Feign Death
seismic sensitivity	"feat:seismic-sensitivity"	Seismic Sensitivity
dragonkin lore	"feat:dragonkin-lore"	Dragonkin Lore
travel-tongue	"feat:travel-tongue"	Travel-Tongue
stunt double	"feat:stunt-double"	Stunt Double
specialty crafting	"feat:specialty-crafting"	Specialty Crafting
um, actually	"feat:um-actually"	Um, Actually
a hardor in motion	"feat:a-hardor-in-motion"	A Hardor in Motion
balancing tail	"feat:balancing-tail"	Balancing Tail
stitch flesh	"feat:stitch-flesh"	Stitch Flesh
dramatic reading	"feat:dramatic-reading"	Dramatic Reading
fundamental understanding	"feat:fundamental-understanding"	Fundamental Understanding
convert illumination	"feat:convert-illumination"	Convert Illumination
ammo hoarder	"feat:ammo-hoarder"	Ammo Hoarder
dire armplates	"feat:dire-armplates"	Dire Armplates
versatile outfit	"feat:versatile-outfit"	Versatile Outfit
cite the deep lore	"feat:cite-the-deep-lore"	Cite the Deep Lore
shobhad lore	"feat:shobhad-lore"	Shobhad Lore
steady descent	"feat:steady-descent"	Steady Descent
underwater athlete	"feat:underwater-athlete"	Underwater Athlete
bonded transposition	"feat:bonded-transposition"	Bonded Transposition
terror-forming	"feat:terror-forming"	Terror-Forming
thoroughly slimed	"feat:thoroughly-slimed"	Thoroughly Slimed
march! two three four	"feat:march-two-three-four"	March! Two Three Four
twin draw	"feat:twin-draw"	Twin Draw
dual bond	"feat:dual-bond"	Dual Bond
quick study	"feat:quick-study"	Quick Study
aw, nuts!	"feat:aw-nuts"	Aw, Nuts!
silent tide	"feat:silent-tide"	Silent Tide
shifter's orientation	"feat:shifters-orientation"	Shifter's Orientation
swarm evolution	"feat:swarm-evolution"	Swarm Evolution
anticipate danger	"feat:anticipate-danger"	Anticipate Danger
learning experience	"feat:learning-experience"	Learning Experience
i'll be back	"feat:ill-be-back"	I'll Be Back
wary disarmament	"feat:wary-disarmament"	Wary Disarmament
intimidating roar	"feat:intimidating-roar"	Intimidating Roar
basic stellar attunement	"feat:basic-stellar-attunement"	Basic Stellar Attunement
draconic breath	"feat:draconic-breath"	Draconic Breath
fungal evolution	"feat:fungal-evolution"	Fungal Evolution
menacing men	"feat:menacing-men"	Menacing Men
soldier's training	"feat:soldiers-training"	Soldier's Training
decorated peacekeeper	"feat:decorated-peacekeeper"	Decorated Peacekeeper
personal sacrifice	"feat:personal-sacrifice"	Personal Sacrifice
swap upgrades	"feat:swap-upgrades"	Swap Upgrades
fool the camera	"feat:fool-the-camera"	Fool the Camera
ancestral unarmed attack	"feat:ancestral-unarmed-attack"	Ancestral Unarmed Attack
soul-sworn oath	"feat:soul-sworn-oath"	Soul-Sworn Oath
natural skill	"feat:natural-skill"	Natural Skill
soldier's toughness	"feat:soldiers-toughness"	Soldier's Toughness
slippery secrets	"feat:slippery-secrets"	Slippery Secrets
clinging bite	"feat:clinging-bite"	Clinging Bite
flexible grip	"feat:flexible-grip"	Flexible Grip
corporate speak	"feat:corporate-speak"	Corporate Speak
centered mind	"feat:centered-mind"	Centered Mind
ride	"feat:ride"	Ride
gooey engulf	"feat:gooey-engulf-entu"	Gooey Engulf (Entu)
power slide	"feat:power-slide"	Power Slide
consistent communalism	"feat:consistent-communalism"	Consistent Communalism
unleashed anger	"feat:unleashed-anger"	Unleashed Anger
planetary bond	"feat:planetary-bond"	Planetary Bond
vapor form	"feat:vapor-form"	Vapor Form
stocky frame	"feat:stocky-frame"	Stocky Frame
enlarged proboscis	"feat:enlarged-proboscis"	Enlarged Proboscis
prey's prowess	"feat:preys-prowess"	Prey's Prowess
hurl ally	"feat:hurl-ally"	Hurl Ally
dakeshar star	"feat:dakeshar-star"	Dakeshar Star
excavating tentacles	"feat:excavating-tentacles"	Excavating Tentacles
copaxi diplomat	"feat:copaxi-diplomat"	Copaxi Diplomat
tail glide	"feat:tail-glide"	Tail Glide
weightless defense	"feat:weightless-defense"	Weightless Defense
dragonkin weapon familiarity	"feat:dragonkin-weapon-familiarity"	Dragonkin Weapon Familiarity
head fake	"feat:head-fake"	Head Fake
predictive strike	"feat:predictive-strike"	Predictive Strike
know your audience	"feat:know-your-audience"	Know Your Audience
furious flap	"feat:furious-flap"	Furious Flap
knowledge bomb	"feat:knowledge-bomb"	Knowledge Bomb
shifting smuggler	"feat:shifting-smuggler"	Shifting Smuggler
cellular regeneration	"feat:cellular-regeneration"	Cellular Regeneration
allsix	"feat:allsix"	Allsix
psychic irregularity	"feat:psychic-irregularity"	Psychic Irregularity
world shards	"feat:world-shards"	World Shards
communalism	"feat:communalism"	Communalism
venomous cocktail	"feat:venomous-cocktail"	Venomous Cocktail
immediate relaxation	"feat:immediate-relaxation"	Immediate Relaxation
flight specialist	"feat:flight-specialist"	Flight Specialist
passive environment processing	"feat:passive-environment-processing"	Passive Environment Processing
even more smashing!	"feat:even-more-smashing"	Even More Smashing!
goring rush	"feat:goring-rush"	Goring Rush
gentle boost	"feat:gentle-boost"	Gentle Boost
crab scuttle	"feat:crab-scuttle"	Crab Scuttle
unexpected solution	"feat:unexpected-solution"	Unexpected Solution
alarming scream	"feat:alarming-scream"	Alarming Scream
assistive shove	"feat:assistive-shove"	Assistive Shove
death's indifference	"feat:deaths-indifference"	Death's Indifference
fearsome	"feat:fearsome"	Fearsome
march!	"feat:march"	March!
biowaste schmiowaste	"feat:biowaste-schmiowaste"	Biowaste Schmiowaste
adopted overlords	"feat:adopted-overlords"	Adopted Overlords
medicinal trinket	"feat:medicinal-trinket"	Medicinal Trinket
centering scent	"feat:centering-scent"	Centering Scent
cloud jump	"feat:cloud-jump"	Cloud Jump
electron sprinkles	"feat:electron-sprinkles"	Electron Sprinkles
show-off	"feat:show-off"	Show-Off
exaggerated tales	"feat:exaggerated-tales"	Exaggerated Tales
jolted alive	"feat:jolted-alive"	Jolted Alive
legendary survivalist	"feat:legendary-survivalist"	Legendary Survivalist
coral fists	"feat:coral-fists"	Coral Fists
jungle adaptation	"feat:jungle-adaptation"	Jungle Adaptation
light 'em up	"feat:light-em-up"	Light 'Em Up
gliding wings	"feat:gliding-wings"	Gliding Wings
technology breaker	"feat:technology-breaker"	Technology Breaker
advanced targeting system	"feat:advanced-targeting-system"	Advanced Targeting System
ambidextrous shifter	"feat:ambidextrous-shifter"	Ambidextrous Shifter
slick mucus	"feat:slick-mucus"	Slick Mucus
bottomless pockets	"feat:bottomless-pockets"	Bottomless Pockets
convert information	"feat:convert-information"	Convert Information
pin down	"feat:pin-down"	Pin Down
camera blur	"feat:camera-blur"	Camera Blur
dazzling glare	"feat:dazzling-glare"	Dazzling Glare
nanite armament overcharge	"feat:nanite-armament-overcharge"	Nanite Armament Overcharge
sharpest teeth	"feat:sharpest-teeth"	Sharpest Teeth
frenzy	"feat:frenzy"	Frenzy
advanced soldier training	"feat:advanced-soldier-training"	Advanced Soldier Training
meandering mind	"feat:meandering-mind"	Meandering Mind
distant telepath	"feat:distant-telepath"	Distant Telepath
nanite strangulation	"feat:nanite-strangulation"	Nanite Strangulation
unconventional expertise	"feat:unconventional-expertise"	Unconventional Expertise
sensitive rhinophores	"feat:sensitive-rhinophores"	Sensitive Rhinophores
otherworldly spell	"feat:otherworldly-spell"	Otherworldly Spell
harness cosmic forces	"feat:harness-cosmic-forces"	Harness Cosmic Forces
unstoppable inertia	"feat:unstoppable-inertia"	Unstoppable Inertia
philosophical font	"feat:philosophical-font"	Philosophical Font
latch on	"feat:latch-on"	Latch On
scrapper's ingenuity	"feat:scrappers-ingenuity"	Scrapper's Ingenuity
two lives	"feat:two-lives"	Two Lives
heart of a sun	"feat:heart-of-a-sun"	Heart of a Sun
fog of war	"feat:fog-of-war"	Fog of War
the bigger they are	"feat:the-bigger-they-are"	The Bigger They Are
deployed static	"feat:deployed-static"	Deployed Static
clan crystal form	"feat:clan-crystal-form"	Clan Crystal Form
master spy	"feat:master-spy"	Master Spy
paint splash	"feat:paint-splash"	Paint Splash
cautious curiosity	"feat:cautious-curiosity"	Cautious Curiosity
impeding shot	"feat:impeding-shot"	Impeding Shot
nanite hardlight construction	"feat:nanite-hardlight-construction"	Nanite Hardlight Construction
super swimmer	"feat:super-swimmer"	Super Swimmer
xenodruid dedication	"feat:xenodruid-dedication"	Xenodruid Dedication
ancestral darkvision	"feat:ancestral-darkvision"	Ancestral Darkvision
inscrutable countenance	"feat:inscrutable-countenance"	Inscrutable Countenance
unfathomable sorrow	"feat:unfathomable-sorrow"	Unfathomable Sorrow
dwarven honor	"feat:dwarven-honor"	Dwarven Honor
psychic paragon	"feat:psychic-paragon"	Psychic Paragon
used to it	"feat:used-to-it"	Used to It
peril delver	"feat:peril-delver"	Peril Delver
sucker grip	"feat:sucker-grip"	Sucker Grip
fleet	"feat:fleet"	Fleet
unlucky for some	"feat:unlucky-for-some"	Unlucky for Some
nomad's persistence	"feat:nomads-persistence"	Nomad's Persistence
momentum	"feat:momentum"	Momentum
doctor in training	"feat:doctor-in-training"	Doctor in Training
void stalker	"feat:void-stalker"	Void Stalker
twin guard	"feat:twin-guard"	Twin Guard
operative dedication	"feat:operative-dedication"	Operative Dedication
evasive jet	"feat:evasive-jet"	Evasive Jet
expense account	"feat:expense-account"	Expense Account
researched spell resistance	"feat:researched-spell-resistance"	Researched Spell Resistance
infinite aim	"feat:infinite-aim"	Infinite Aim
intuitive talent	"feat:intuitive-talent"	Intuitive Talent
stunt maneuver	"feat:stunt-maneuver"	Stunt Maneuver
psychic wedge	"feat:psychic-wedge"	Psychic Wedge
shape statue	"feat:shape-statue"	Shape Statue
knowledge module	"feat:knowledge-module"	Knowledge Module
serum crafting	"feat:serum-crafting"	Serum Crafting
novice necrovite	"feat:novice-necrovite"	Novice Necrovite
blowhole	"feat:blowhole"	Blowhole
efficient crafter	"feat:efficient-crafter"	Efficient Crafter
solarian's resiliency	"feat:solarians-resiliency"	Solarian's Resiliency
contortive compression	"feat:contortive-compression"	Contortive Compression
steady advance	"feat:steady-advance"	Steady Advance
effortless concentration	"feat:effortless-concentration"	Effortless Concentration
dazzling diversion	"feat:dazzling-diversion"	Dazzling Diversion
paranoid lookout	"feat:paranoid-lookout"	Paranoid Lookout
electrical engineer	"feat:electrical-engineer"	Electrical Engineer
hair trigger	"feat:hair-trigger"	Hair Trigger
ancestral knowledge	"feat:ancestral-knowledge"	Ancestral Knowledge
rip current	"feat:rip-current"	Rip Current
assurance	"feat:assurance"	Assurance
cultural integrator	"feat:cultural-integrator"	Cultural Integrator
stop them in their tracks	"feat:stop-them-in-their-tracks"	Stop Them in Their Tracks
hampering shot	"feat:hampering-shot"	Hampering Shot
verdant psychic	"feat:verdant-psychic"	Verdant Psychic
chemical connoisseur	"feat:chemical-connoisseur"	Chemical Connoisseur
parkour	"feat:parkour"	Parkour
alter weight	"feat:alter-weight"	Alter Weight
get them!	"feat:get-them"	Get Them!
fierce defender	"feat:fierce-defender"	Fierce Defender
aloof mind	"feat:aloof-mind"	Aloof Mind
waiting for your moment	"feat:waiting-for-your-moment"	Waiting for your Moment
enlightenment	"feat:enlightenment"	Enlightenment
energy infusion	"feat:energy-infusion"	Energy Infusion
advanced leadership	"feat:advanced-leadership"	Advanced Leadership
confounding disquisition	"feat:confounding-disquisition"	Confounding Disquisition
thought-piercing horns	"feat:thought-piercing-horns"	Thought-Piercing Horns
new path	"feat:new-path"	New Path
careful planning	"feat:careful-planning"	Careful Planning
unsettling display	"feat:unsettling-display"	Unsettling Display
survivor's instincts	"feat:survivors-instincts"	Survivor's Instincts
nonlethal spell	"feat:nonlethal-spell"	Nonlethal Spell
retrotech	"feat:retrotech"	Retrotech
opening volley	"feat:opening-volley"	Opening Volley
shed skin	"feat:shed-skin"	Shed Skin
deadlift	"feat:deadlift"	Deadlift
iomedae's barrage	"feat:iomedaes-barrage"	Iomedae's Barrage
scion of the fonqon trees	"feat:scion-of-the-fonqon-trees"	Scion of the Fonqon Trees
release radiation	"feat:release-radiation"	Release Radiation
long whiskered	"feat:long-whiskered"	Long Whiskered
tag team	"feat:tag-team"	Tag Team
infernal armaments	"feat:infernal-armaments"	Infernal Armaments
natural hunter	"feat:natural-hunter"	Natural Hunter
empathetic shout	"feat:empathetic-shout"	Empathetic Shout
implacable grappler	"feat:implacable-grappler"	Implacable Grappler
streetwise	"feat:streetwise"	Streetwise
ancestral resistance	"feat:ancestral-resistance"	Ancestral Resistance
express driver	"feat:express-driver"	Express Driver
wall jump	"feat:wall-jump"	Wall Jump
adapted cantrip	"feat:adapted-cantrip"	Adapted Cantrip
iron guts	"feat:iron-guts"	Iron Guts
intimidating prowess	"feat:intimidating-prowess"	Intimidating Prowess
compost	"feat:compost"	Compost
longrifle reload	"feat:longrifle-reload"	Longrifle Reload
ravenous restoration	"feat:ravenous-restoration"	Ravenous Restoration
inventor	"feat:inventor"	Inventor
empathic pulse	"feat:empathic-pulse"	Empathic Pulse
persistent confidence	"feat:persistent-confidence"	Persistent Confidence
elebrian magic	"feat:elebrian-magic"	Elebrian Magic
aspalasch faithful	"feat:aspalasch-faithful"	Aspalasch Faithful
favored disguise	"feat:favored-disguise"	Favored Disguise
weave silk balloon	"feat:weave-silk-balloon"	Weave Silk Balloon
machine saboteur	"feat:machine-saboteur"	Machine Saboteur
cable slicer	"feat:cable-slicer"	Cable Slicer
unmistakable lore	"feat:unmistakable-lore"	Unmistakable Lore
sacrificial shell	"feat:sacrificial-shell"	Sacrificial Shell
cosmic traveler	"feat:cosmic-traveler"	Cosmic Traveler
theory of everything	"feat:theory-of-everything"	Theory of Everything
diverse schemes	"feat:diverse-schemes"	Diverse Schemes
absorb flame	"feat:absorb-flame"	Absorb Flame
glitching memory	"feat:glitching-memory"	Glitching Memory
emotional defiance	"feat:emotional-defiance"	Emotional Defiance
shobhad weapon familiarity	"feat:shobhad-weapon-familiarity"	Shobhad Weapon Familiarity
undead empathy	"feat:undead-empathy"	Undead Empathy
mutantest goblin	"feat:mutantest-goblin"	Mutantest Goblin
shifter's eye	"feat:shifters-eye"	Shifter's Eye
adaptive coagulation	"feat:adaptive-coagulation"	Adaptive Coagulation
share quantum aura	"feat:share-quantum-aura"	Share Quantum Aura
energy eternal	"feat:energy-eternal"	Energy Eternal
hang in there	"feat:hang-in-there"	Hang in There
hold the link	"feat:hold-the-link"	Hold the Link
stylish jeweler	"feat:stylish-jeweler"	Stylish Jeweler
basic insectile flight	"feat:basic-insectile-flight"	Basic Insectile Flight
convergent evolution	"feat:convergent-evolution"	Convergent Evolution
crab stand	"feat:crab-stand"	Crab Stand
collateral witness	"feat:collateral-witness"	Collateral Witness
the hunter, not the hunted	"feat:the-hunter-not-the-hunted"	The Hunter, Not the Hunted
loping vines	"feat:loping-vines"	Loping Vines
tactical swap	"feat:tactical-swap"	Tactical Swap
planar survival	"feat:planar-survival"	Planar Survival
flickering existence	"feat:flickering-existence"	Flickering Existence
swarm tactician	"feat:swarm-tactician"	Swarm Tactician
electromagnetic hover	"feat:electromagnetic-hover"	Electromagnetic Hover
gravity grasp	"feat:gravity-grasp"	Gravity Grasp
rat race	"feat:rat-race"	Rat Race
adaptive echolocation	"feat:adaptive-echolocation"	Adaptive Echolocation
urban survivalist	"feat:urban-survivalist"	Urban Survivalist
bioluminescent flash bang	"feat:bioluminescent-flash-bang"	Bioluminescent Flash Bang
chattermander	"feat:chattermander"	Chattermander
knight of golarion dedication	"feat:knight-of-golarion-dedication"	Knight of Golarion Dedication
method actor	"feat:method-actor"	Method Actor
undying	"feat:undying"	Undying
burst of speed	"feat:burst-of-speed"	Burst of Speed
cooperative soul	"feat:cooperative-soul"	Cooperative Soul
quadrupedal speed	"feat:quadrupedal-speed"	Quadrupedal Speed
enlarge quantum field	"feat:enlarge-quantum-field"	Enlarge Quantum Field
opportunistic hug	"feat:opportunistic-hug"	Opportunistic Hug
quick jump	"feat:quick-jump"	Quick Jump
relentless roller	"feat:relentless-roller"	Relentless Roller
preternatural skill	"feat:preternatural-skill"	Preternatural Skill
guarded thoughts	"feat:guarded-thoughts"	Guarded Thoughts
repair module	"feat:repair-module"	Repair Module
cloud storage	"feat:cloud-storage"	Cloud Storage
insatiable student	"feat:insatiable-student"	Insatiable Student
remarkable crafter	"feat:remarkable-crafter"	Remarkable Crafter
long tail	"feat:long-tail"	Long Tail
iomedae's shield	"feat:iomedaes-shield"	Iomedae's Shield
life-giving light	"feat:life-giving-light"	Life-Giving Light
restorative tissues	"feat:restorative-tissues"	Restorative Tissues
blazing corona	"feat:blazing-corona"	Blazing Corona
undead senses	"feat:undead-senses"	Undead Senses
digestive outburst	"feat:digestive-outburst"	Digestive Outburst
restorative chatter	"feat:restorative-chatter"	Restorative Chatter
legendary codebreaker	"feat:legendary-codebreaker"	Legendary Codebreaker
vengeful gore	"feat:vengeful-gore"	Vengeful Gore
empathetic connection	"feat:empathetic-connection"	Empathetic Connection
heightened paranoia	"feat:heightened-paranoia"	Heightened Paranoia
basic witchwarper spellcasting	"feat:basic-witchwarper-spellcasting"	Basic Witchwarper Spellcasting
radiation resistant	"feat:radiation-resistant"	Radiation Resistant
ascending necrovite	"feat:ascending-necrovite"	Ascending Necrovite
solar manifestation expert	"feat:solar-manifestation-expert"	Solar Manifestation Expert
hang in therefriend!	"feat:hang-in-there-nu-friend"	Hang in There (Nu)Friend!
prehensile limbs	"feat:prehensile-limbs"	Prehensile Limbs
remix world's rhythm	"feat:remix-worlds-rhythm"	Remix World's Rhythm
verdant sense	"feat:verdant-sense"	Verdant Sense
data jockey	"feat:data-jockey"	Data Jockey
heroic last stand	"feat:heroic-last-stand"	Heroic Last Stand
avid traveler	"feat:avid-traveler"	Avid Traveler
sign language	"feat:sign-language"	Sign Language
basic mystic spellcasting	"feat:basic-mystic-spellcasting"	Basic Mystic Spellcasting
bioluminescence	"feat:bioluminescence-shirren"	Bioluminescence (Shirren)
greater epiphany	"feat:greater-epiphany"	Greater Epiphany
adaptable limbs	"feat:adaptable-limbs"	Adaptable Limbs
eclipse strike	"feat:eclipse-strike"	Eclipse Strike
breath control	"feat:breath-control"	Breath Control
masks under masks	"feat:masks-under-masks"	Masks Under Masks
underwater stalker	"feat:underwater-stalker"	Underwater Stalker
cheer up	"feat:cheer-up"	Cheer Up
independent lfan	"feat:independent-lfan"	Independent LFAN
byzantine linguistics	"feat:byzantine-linguistics"	Byzantine Linguistics
steady trinket	"feat:steady-trinket"	Steady Trinket
use the scenery	"feat:use-the-scenery"	Use the Scenery
360 no scope	"feat:360-no-scope"	360 No Scope
death-touched caster	"feat:death-touched-caster"	Death-Touched Caster
combat hack	"feat:combat-hack"	Combat Hack
on a roll	"feat:on-a-roll"	On A Roll
spread the wealth	"feat:spread-the-wealth"	Spread the Wealth
primary target	"feat:primary-target"	Primary Target
a little piece of home	"feat:a-little-piece-of-home"	A Little Piece of Home
wormhole	"feat:wormhole"	Wormhole
advanced physiological mimicry	"feat:advanced-physiological-mimicry"	Advanced Physiological Mimicry
coordinated fire	"feat:coordinated-fire"	Coordinated Fire
apocalypse burst	"feat:apocalypse-burst"	Apocalypse Burst
massive fists	"feat:massive-fists"	Massive Fists
meyel's tailspin	"feat:meyels-tailspin"	Meyel's Tailspin
unknowing polyglot	"feat:unknowing-polyglot"	Unknowing Polyglot
the science of motion	"feat:the-science-of-motion"	The Science of Motion
emotional maestro	"feat:emotional-maestro"	Emotional Maestro
kasatha weapon elegance	"feat:kasatha-weapon-elegance"	Kasatha Weapon Elegance
cross research	"feat:cross-research"	Cross Research
voidpath	"feat:voidpath"	Voidpath
nimbus block	"feat:nimbus-block"	Nimbus Block
quick coercion	"feat:quick-coercion"	Quick Coercion
startling shift	"feat:startling-shift"	Startling Shift
tremorsense	"feat:tremorsense"	Tremorsense
listen to the stone	"feat:listen-to-the-stone"	Listen to the Stone
defensive gunner	"feat:defensive-gunner"	Defensive Gunner
spray ink	"feat:spray-ink"	Spray Ink
quick swim	"feat:quick-swim"	Quick Swim
grabbing pincer	"feat:grabbing-pincer"	Grabbing Pincer
frequent drifter	"feat:frequent-drifter"	Frequent Drifter
hardened in the vault	"feat:hardened-in-the-vault"	Hardened in the Vault
fixation	"feat:fixation"	Fixation
punishing spines	"feat:punishing-spines"	Punishing Spines
primal vitality	"feat:primal-vitality"	Primal Vitality
covering fire	"feat:covering-fire"	Covering Fire
change of plans	"feat:change-of-plans"	Change of Plans
leader's confidence	"feat:leaders-confidence"	Leader's Confidence
cultural consumption	"feat:cultural-consumption"	Cultural Consumption
envenom magazine	"feat:envenom-magazine"	Envenom Magazine
terrain stalker	"feat:terrain-stalker"	Terrain Stalker
strength in numbers	"feat:strength-in-numbers"	Strength in Numbers
prescient planner	"feat:prescient-planner"	Prescient Planner
expert set-up	"feat:expert-set-up"	Expert Set-Up
fruitful psychic	"feat:fruitful-psychic"	Fruitful Psychic
arcane sense	"feat:arcane-sense"	Arcane Sense
gigafuroid form	"feat:gigafuroid-form"	Gigafuroid Form
telepredict	"feat:telepredict"	Telepredict
determination undimmed	"feat:determination-undimmed"	Determination Undimmed
pheromone connection	"feat:pheromone-connection"	Pheromone Connection
memory matrix	"feat:memory-matrix"	Memory Matrix
wide-spectrum artillery repulsion device	"feat:wide-spectrum-artillery-repulsion-device"	Wide-Spectrum Artillery Repulsion Device
above and below	"feat:above-and-below"	Above and Below
unleash sota's flame	"feat:unleash-sotas-flame"	Unleash Sota's Flame
tactical advance	"feat:tactical-advance"	Tactical Advance
genetic environmental adaptation	"feat:genetic-environmental-adaptation"	Genetic Environmental Adaptation
oozy brains	"feat:oozy-brains"	Oozy Brains
continual recovery	"feat:continual-recovery"	Continual Recovery
feather step	"feat:feather-step"	Feather Step
convert life force	"feat:convert-life-force"	Convert Life Force
fearless	"feat:fearless"	Fearless
big mouth	"feat:big-mouth"	Big Mouth
fish in a barrel	"feat:fish-in-a-barrel"	Fish in a Barrel
junkyard resistance	"feat:junkyard-resistance"	Junkyard Resistance
inner ear temblor	"feat:inner-ear-temblor"	Inner Ear Temblor
sales pitch	"feat:sales-pitch"	Sales Pitch
effortless influencer	"feat:effortless-influencer"	Effortless Influencer
nanite armament efficiency	"feat:nanite-armament-efficiency"	Nanite Armament Efficiency
warblood of damoritosh	"feat:warblood-of-damoritosh"	Warblood of Damoritosh
camouflage expert	"feat:camouflage-expert"	Camouflage Expert
menacing spines	"feat:menacing-spines"	Menacing Spines
glitch shot	"feat:glitch-shot"	Glitch Shot
working artist	"feat:working-artist"	Working Artist
glad-hand	"feat:glad-hand"	Glad-Hand
transforming huddle	"feat:transforming-huddle"	Transforming Huddle
nightvision adaptation	"feat:nightvision-adaptation"	Nightvision Adaptation
arboreal acrobat	"feat:arboreal-acrobat"	Arboreal Acrobat
overwhelming shot	"feat:overwhelming-shot"	Overwhelming Shot
magical guardian	"feat:magical-guardian"	Magical Guardian
unexpected downsize	"feat:unexpected-downsize"	Unexpected Downsize
let's go	"feat:lets-go"	Let's Go
close the gap	"feat:close-the-gap"	Close the Gap
prismeni lore	"feat:prismeni-lore"	Prismeni Lore
follow their lead	"feat:follow-their-lead"	Follow Their Lead
disciplined follower	"feat:disciplined-follower"	Disciplined Follower
timber!	"feat:timber"	Timber!
radioactive core	"feat:radioactive-core"	Radioactive Core
howl of the deep	"feat:howl-of-the-deep"	Howl of the Deep
nostalgia for worlds lost	"feat:nostalgia-for-worlds-lost"	Nostalgia for Worlds Lost
mantarider	"feat:mantarider"	Mantarider
exchange student	"feat:exchange-student"	Exchange Student
meditative analysis	"feat:meditative-analysis"	Meditative Analysis
natural born speedster	"feat:natural-born-speedster"	Natural Born Speedster
shell shower	"feat:shell-shower"	Shell Shower
return to the river	"feat:return-to-the-river"	Return to the River
crevice dweller	"feat:crevice-dweller"	Crevice Dweller
neutralizing skin	"feat:neutralizing-skin"	Neutralizing Skin
izalraan leader's ingenuity	"feat:izalraan-leaders-ingenuity"	Izalraan Leader's Ingenuity
radioactive resistance	"feat:radioactive-resistance"	Radioactive Resistance
student of the unseen	"feat:student-of-the-unseen"	Student of the Unseen
just kidding	"feat:just-kidding"	Just Kidding
dauntless	"feat:dauntless"	Dauntless
divine guidance	"feat:divine-guidance"	Divine Guidance
nanite shield	"feat:nanite-shield"	Nanite Shield
boundless energy	"feat:boundless-energy"	Boundless Energy
go for the eyes!	"feat:go-for-the-eyes"	Go for the Eyes!
terrified retreat	"feat:terrified-retreat"	Terrified Retreat
prophet's premonition	"feat:prophets-premonition"	Prophet's Premonition
toxic transference	"feat:toxic-transference"	Toxic Transference
tech caster	"feat:tech-caster"	Tech Caster
cosmic infusion	"feat:cosmic-infusion"	Cosmic Infusion
comfortable in your own chitin	"feat:comfortable-in-your-own-chitin"	Comfortable in Your Own Chitin
shot on the run	"feat:shot-on-the-run"	Shot on the Run
one-izalguun band	"feat:one-izalguun-band"	One-Izalguun Band
kindle blaze	"feat:kindle-blaze"	Kindle Blaze
creature ally	"feat:creature-ally"	Creature Ally
objects in motion	"feat:objects-in-motion"	Objects in Motion
voracious reader	"feat:voracious-reader"	Voracious Reader
always on alert	"feat:always-on-alert"	Always on Alert
command tactics	"feat:command-tactics"	Command Tactics
long-term concealment	"feat:long-term-concealment"	Long-Term Concealment
mineral shield	"feat:mineral-shield"	Mineral Shield
quick disguise	"feat:quick-disguise"	Quick Disguise
advantageous assault	"feat:advantageous-assault"	Advantageous Assault
formian scent	"feat:formian-scent"	Formian Scent
multiverse magic	"feat:multiverse-magic"	Multiverse Magic
vent gas	"feat:vent-gas"	Vent Gas
proudhome puff	"feat:proudhome-puff"	Proudhome Puff
synchronized action	"feat:synchronized-action"	Synchronized Action
optimistic failure	"feat:optimistic-failure"	Optimistic Failure
emotionless	"feat:emotionless"	Emotionless
iomedae's helm	"feat:iomedaes-helm"	Iomedae's Helm
drift blink	"feat:drift-blink"	Drift Blink
battle cry	"feat:battle-cry"	Battle Cry
long-legged	"feat:long-legged"	Long-Legged
management material	"feat:management-material"	Management Material
hardy transplant	"feat:hardy-transplant"	Hardy Transplant
menacing growl	"feat:menacing-growl"	Menacing Growl
attuned wards	"feat:attuned-wards"	Attuned Wards
skilled bodyguard	"feat:skilled-bodyguard"	Skilled Bodyguard
stunt work	"feat:stunt-work"	Stunt Work
distant flare	"feat:distant-flare"	Distant Flare
ensnaring vines	"feat:ensnaring-vines"	Ensnaring Vines
arcane consumption	"feat:arcane-consumption"	Arcane Consumption
smooth diversions	"feat:smooth-diversions"	Smooth Diversions
range sniper	"feat:range-sniper"	Range Sniper
four arm brains	"feat:four-arm-brains"	Four Arm Brains
trek the frigid wastes	"feat:trek-the-frigid-wastes"	Trek the Frigid Wastes
personal legend	"feat:personal-legend"	Personal Legend
network shield	"feat:network-shield"	Network Shield
master planner	"feat:master-planner"	Master Planner
roll model	"feat:roll-model"	Roll Model
digestive spray	"feat:digestive-spray"	Digestive Spray
performance review	"feat:performance-review"	Performance Review
chosen of nchak	"feat:chosen-of-nchak"	Chosen of Nchak
nomad's guard	"feat:nomads-guard"	Nomad's Guard
conceal spell	"feat:conceal-spell"	Conceal Spell
part of me for you	"feat:part-of-me-for-you"	Part of Me for You
pahtra lore	"feat:pahtra-lore"	Pahtra Lore
peaceful resolution	"feat:peaceful-resolution"	Peaceful Resolution
thick skin	"feat:thick-skin"	Thick Skin
psychic bully	"feat:psychic-bully"	Psychic Bully
flatten body	"feat:flatten-body"	Flatten Body
tenacious flame	"feat:tenacious-flame"	Tenacious Flame
buoy	"feat:buoy"	Buoy
shoving shot	"feat:shoving-shot"	Shoving Shot
ignore radiation	"feat:ignore-radiation"	Ignore Radiation
augmented shell	"feat:augmented-shell"	Augmented Shell
determined optimist	"feat:determined-optimist"	Determined Optimist
dream sanctuary	"feat:dream-sanctuary"	Dream Sanctuary
